id,age00,education,marital,gender,ethnic,industry,income00
0,34.629,12,0,0,2,4,52533.0
1,48.403,16,1,1,1,0,29507.0
2,50.327,14,1,1,2,7,122156.0
3,45.059,11,1,1,1,2,53249.0
4,59.616,16,0,1,0,4,75917.0
5,38.149,16,1,1,0,4,81456.0
6,39.728,14,1,1,0,6,79712.0
7,40.735,14,0,1,1,3,52545.0
8,41.527,14,2,0,1,2,43000.0
9,44.089,16,1,0,1,3,70149.0
10,49.191,16,1,1,1,6,81328.0
11,49.933,16,3,0,0,1,30238.0
12,53.792,16,3,0,2,7,116711.0
13,51.252,18,1,1,2,2,42236.0
14,44.117,21,1,0,2,7,112518.0
15,41.415,16,2,0,1,3,38306.0
16,57.094,12,0,1,2,3,53730.0
17,54.776,18,1,1,0,1,31902.0
18,37.528,14,0,1,2,3,65531.0
19,43.026,16,0,1,2,2,39490.0
20,38.185,12,1,1,0,1,43079.0
21,59.764,16,0,0,2,2,53746.0
22,44.752,14,0,1,2,5,62651.0
23,32.271,16,3,1,0,6,79787.0
24,55.861,16,1,0,2,4,70602.0
25,50.098,12,1,1,2,2,42077.0
26,47.108,14,1,1,2,5,88573.0
27,46.441,14,1,1,2,7,97291.0
28,33.557,20,1,0,0,5,88694.0
29,39.921,16,0,1,0,3,59825.0
30,49.307,18,2,1,0,6,71658.0
31,55.276,12,1,1,2,1,31737.0
32,42.628,16,0,1,1,7,114757.0
33,38.186,16,0,1,0,0,32761.0
34,55.452,19,1,0,2,2,51240.0
35,44.911,17,0,0,0,1,36566.0
36,49.521,12,2,0,2,0,25063.0
37,31.25,14,0,1,0,0,29524.0
38,47.34,16,0,1,0,5,55727.0
39,33.08,16,0,1,1,5,57224.0
40,45.136,12,0,1,1,6,66065.0
41,47.347,13,0,0,1,6,89859.0
42,47.849,18,3,0,1,1,35313.0
43,44.347,16,0,1,2,4,67574.0
44,51.762,19,0,0,0,2,40387.0
45,43.595,16,1,1,1,2,48224.0
46,52.656,14,1,0,0,7,158204.0
47,40.797,16,1,0,2,7,156039.0
48,50.814,14,1,0,2,0,22275.0
49,42.964,18,1,0,2,6,67330.0
50,48.903,16,1,0,1,5,70844.0
51,39.789,18,0,1,1,0,23721.0
52,36.121,17,1,1,2,3,48820.0
53,50.708,12,1,0,1,0,21190.0
54,44.478,14,1,1,2,1,29243.0
55,38.518,14,0,0,2,3,61842.0
56,39.385,16,1,0,0,3,52711.0
57,34.026,12,0,1,2,5,76889.0
58,35.393,12,3,0,0,6,81109.0
59,32.339,16,1,1,2,0,28834.0
60,45.196,14,2,0,1,7,124669.0
61,33.502,14,2,1,1,3,48422.0
62,51.827,12,0,1,0,0,25186.0
63,41.996,17,1,1,1,6,116970.0
64,58.54,14,1,1,1,0,27218.0
