"year","degree","padeg","madeg","spdeg","sex","ompop","income","rincome","speduc","maeduc","id","commute","industry","sibs","childs","age","educ","paeduc","ballot"
2012,3,4,3,7,1,3,12,0,97,16,1,-1,0,1,0,22,16,16,1
2012,1,7,1,7,1,5,12,0,97,12,2,-1,0,2,0,21,12,97,3
2012,1,7,2,3,1,4,12,12,16,15,3,-1,0,1,2,42,12,97,3
2012,1,4,3,3,2,3,12,0,16,16,4,-1,0,2,2,49,13,18,2
2012,3,0,1,7,2,1,12,0,97,12,5,-1,0,0,3,70,16,98,2
2012,3,2,1,7,2,2,12,0,97,12,6,-1,0,4,2,50,19,14,1
2012,2,2,1,1,2,4,12,0,12,12,7,-1,0,2,2,35,15,14,2
2012,0,7,0,7,2,4,5,0,97,11,8,-1,0,2,3,24,11,97,3
2012,0,8,1,8,2,2,1,0,98,12,9,-1,0,2,2,28,9,98,1
2012,3,2,1,7,2,1,12,12,97,12,10,-1,0,0,0,28,17,14,3
2012,0,8,7,7,1,2,1,0,97,97,11,-1,0,4,6,55,10,98,1
2012,3,7,1,7,2,5,12,6,97,13,12,-1,0,2,3,36,16,97,2
2012,1,8,1,7,2,3,8,0,97,97,13,-1,0,6,4,28,12,98,3
2012,1,0,0,7,2,1,11,0,97,8,14,-1,0,7,6,59,12,98,1
2012,0,0,0,7,1,4,98,10,97,3,15,-1,0,6,4,52,4,3,2
2012,1,1,1,7,2,3,12,12,97,12,16,-1,0,2,4,35,13,14,3
2012,1,0,1,0,1,4,12,12,9,9,17,-1,0,5,3,36,12,9,2
2012,1,7,4,7,2,4,12,12,97,16,18,-1,0,2,5,47,13,97,2
2012,1,7,0,1,1,6,12,12,12,6,19,-1,0,9,6,55,12,97,3
2012,1,7,0,7,2,6,11,0,97,98,20,-1,0,3,0,18,12,97,1
2012,0,0,8,7,2,5,98,0,97,98,21,-1,0,10,8,76,0,5,3
2012,0,0,0,7,1,3,12,0,97,98,22,-1,0,6,1,39,10,4,3
2012,2,7,1,2,1,3,12,12,14,12,23,-1,0,1,2,54,14,97,2
2012,2,1,7,3,2,4,12,12,16,97,24,-1,0,3,2,45,16,12,2
2012,1,0,0,1,1,2,12,0,13,8,25,-1,0,1,2,71,12,8,2
2012,3,4,3,3,2,2,13,13,20,17,26,-1,0,0,2,42,17,17,3
2012,1,4,1,7,1,5,12,10,97,14,27,-1,0,2,0,22,15,20,1
2012,0,7,0,1,1,3,98,0,12,10,28,-1,0,6,2,50,10,97,1
2012,3,0,0,7,2,1,12,0,97,5,29,-1,0,2,3,81,16,98,2
2012,1,0,1,7,2,2,8,8,97,13,30,-1,0,3,2,44,13,11,1
2012,3,1,1,7,1,1,12,0,97,12,31,-1,0,2,0,78,16,12,3
2012,2,2,1,7,2,1,12,12,97,12,32,-1,0,5,2,63,14,14,2
2012,4,7,0,4,1,2,12,0,19,6,33,-1,0,0,0,73,19,97,2
2012,3,4,4,4,1,3,12,12,17,19,34,-1,0,4,1,40,16,19,3
2012,1,7,1,1,2,1,12,12,12,12,35,-1,0,1,0,42,14,97,2
2012,4,1,1,7,1,1,12,12,97,12,36,-1,0,1,2,62,18,14,3
2012,1,8,0,7,1,2,12,12,97,0,37,-1,0,5,0,52,11,98,1
2012,1,7,1,7,2,2,12,12,97,13,38,-1,0,2,0,49,12,97,2
2012,3,7,3,7,2,1,12,12,97,16,39,-1,0,2,0,27,17,97,1
2012,1,7,1,7,2,3,12,12,97,12,40,-1,0,2,2,30,14,97,2
2012,4,4,4,4,2,2,12,12,20,18,41,-1,0,1,0,29,18,18,3
2012,1,8,0,7,2,2,12,0,97,10,42,-1,0,2,2,69,14,11,2
2012,4,7,2,7,2,2,12,12,97,14,43,-1,0,1,0,51,18,97,2
2012,3,0,1,7,2,1,12,12,97,14,44,-1,0,2,3,57,16,9,3
2012,3,3,3,3,1,2,12,12,16,16,45,-1,0,2,2,44,16,16,3
2012,3,4,1,4,2,2,12,0,20,12,46,-1,0,1,3,73,16,20,2
2012,3,4,1,4,2,2,12,0,16,12,47,-1,0,0,3,73,16,18,3
2012,4,3,1,3,1,2,12,12,16,12,48,-1,0,2,2,68,16,16,2
2012,3,4,4,7,2,2,12,11,97,16,49,-1,0,1,4,84,16,17,2
2012,4,0,1,7,1,1,12,13,97,12,50,-1,0,2,1,63,19,9,3
2012,3,1,0,7,1,1,12,12,97,5,51,-1,0,4,2,57,16,12,3
2012,3,3,1,3,2,3,12,12,16,12,52,-1,0,3,2,42,16,16,2
2012,4,7,0,4,2,4,12,0,20,8,53,-1,0,0,2,45,20,97,1
2012,2,7,1,7,1,3,12,0,97,12,54,-1,0,10,1,38,14,97,2
2012,4,3,2,4,1,4,12,12,18,14,55,-1,0,2,2,46,20,16,3
2012,4,3,0,4,2,3,12,13,20,9,56,-1,0,2,3,51,20,16,1
2012,1,7,3,0,2,4,12,10,8,15,57,-1,0,3,1,41,14,97,3
2012,1,7,1,7,2,1,12,0,97,12,58,-1,0,2,3,75,12,97,1
2012,0,0,0,7,2,1,8,0,97,9,59,-1,0,5,5,81,8,9,3
2012,0,0,0,0,2,3,98,0,6,0,60,-1,0,7,6,41,9,4,2
2012,4,7,0,7,2,1,12,0,97,10,61,-1,0,4,2,67,19,97,1
2012,4,0,0,7,1,2,12,0,97,5,62,-1,0,15,2,71,19,3,2
2012,0,7,0,0,1,6,98,98,6,0,63,-1,0,4,2,35,6,97,3
2012,3,3,2,7,2,3,12,12,97,14,64,-1,0,3,1,45,17,16,3
2012,3,0,8,1,2,4,13,13,14,98,65,-1,0,6,2,35,16,6,1
2012,1,8,8,7,2,1,13,13,97,98,66,-1,0,1,0,21,14,98,3
2012,0,7,0,7,2,1,12,12,97,6,67,-1,0,7,2,52,11,97,2
2012,3,7,1,7,2,2,12,12,97,12,68,-1,0,1,1,49,16,97,1
2012,3,4,4,7,1,1,12,12,97,16,69,-1,0,2,0,46,16,12,2
2012,1,1,1,7,2,3,12,11,97,12,70,-1,0,0,2,51,14,12,3
2012,3,7,0,7,1,2,12,12,97,8,71,-1,0,1,0,28,16,97,1
2012,4,1,1,7,2,1,12,0,97,12,72,-1,0,0,3,81,16,12,1
2012,3,4,1,1,1,5,12,12,12,12,73,-1,0,3,3,47,17,16,3
2012,2,1,0,1,1,4,13,13,12,5,74,-1,0,3,2,48,14,12,1
2012,3,4,1,4,1,4,12,12,18,12,75,-1,0,3,2,46,16,18,2
2012,1,0,0,4,1,4,12,0,20,98,76,-1,0,3,3,68,12,8,2
2012,3,1,1,3,2,3,12,11,16,12,77,-1,0,5,2,56,16,12,3
2012,1,0,0,1,2,5,12,0,13,6,78,-1,0,1,3,43,14,6,2
2012,1,0,0,0,2,4,12,0,6,10,79,-1,0,8,2,32,13,9,2
2012,0,7,0,7,2,7,98,4,97,9,80,-1,0,6,2,23,12,97,3
2012,1,1,7,7,1,1,12,0,97,97,81,-1,0,0,0,59,12,12,2
2012,4,4,3,7,2,6,12,12,97,16,82,-1,0,1,0,32,18,16,2
2012,4,3,3,4,1,4,12,12,16,97,83,-1,0,2,2,44,16,16,1
2012,4,3,3,7,2,2,12,12,97,16,84,-1,0,0,1,49,20,16,3
2012,1,7,3,7,2,1,12,12,97,15,85,-1,0,5,0,64,12,97,2
2012,4,1,1,4,2,2,13,13,19,98,86,-1,0,2,0,30,19,15,3
2012,1,0,0,1,2,3,12,11,12,1,87,-1,0,10,3,51,12,1,3
2012,3,1,1,7,2,4,12,12,97,14,88,-1,0,5,0,28,17,12,1
2012,1,0,7,7,1,2,13,13,97,97,89,-1,0,4,2,84,13,98,3
2012,1,7,0,1,1,4,10,10,16,4,90,-1,0,2,2,32,14,97,2
2012,4,7,0,1,2,4,12,12,13,4,91,-1,0,1,3,54,18,97,1
2012,3,1,7,7,2,2,12,12,97,97,92,-1,0,5,0,34,20,12,1
2012,4,1,1,4,2,3,11,7,16,12,93,-1,0,0,1,33,16,12,2
2012,1,1,1,7,2,3,11,0,97,12,94,-1,0,3,2,48,12,16,1
2012,0,7,0,7,2,3,12,0,97,3,95,-1,0,5,3,52,10,97,2
2012,1,3,0,1,2,4,11,4,12,7,96,-1,0,4,2,99,14,17,3
2012,3,3,1,3,1,3,12,13,16,13,97,-1,0,2,2,54,16,16,3
2012,1,1,3,7,2,6,98,0,97,19,98,-1,0,2,0,19,13,12,1
2012,3,2,3,7,1,1,12,12,97,16,99,-1,0,3,0,41,16,16,1
2012,1,1,1,7,2,3,12,10,97,12,100,-1,0,0,0,23,17,12,1
2012,1,8,0,7,1,3,12,12,97,0,101,-1,0,3,2,51,12,12,2
2012,3,3,0,7,2,2,12,0,97,8,102,-1,0,2,0,75,16,16,1
2012,4,0,1,7,2,1,13,13,97,98,103,-1,0,1,1,99,20,8,3
2012,1,7,0,1,1,3,6,6,13,99,104,-1,0,6,1,27,12,97,3
2012,1,1,4,7,1,4,13,0,97,16,105,-1,0,0,0,24,14,14,2
2012,4,7,4,7,1,1,12,12,97,20,106,-1,0,0,0,26,20,97,1
2012,4,1,4,3,2,5,12,9,16,18,107,-1,0,2,3,47,19,12,3
2012,1,3,0,7,2,1,10,4,97,13,108,-1,0,6,0,55,13,16,1
2012,4,2,4,7,2,1,12,13,97,18,109,-1,0,2,2,55,18,14,2
2012,3,3,3,7,1,1,12,12,97,16,110,-1,0,4,0,43,17,16,2
2012,1,7,1,1,2,4,98,12,13,12,111,-1,0,4,2,46,14,97,3
2012,3,7,1,3,1,2,12,12,16,97,112,-1,0,1,1,71,16,97,3
2012,3,3,3,4,2,2,12,13,20,16,113,-1,0,1,0,32,16,16,1
2012,4,1,1,1,1,2,12,9,13,12,114,-1,0,1,0,63,17,98,3
2012,1,0,0,7,2,1,9,9,97,8,115,-1,0,5,2,50,12,8,1
2012,1,1,1,7,1,1,12,12,97,12,116,-1,0,1,3,60,12,12,2
2012,2,1,1,1,2,5,11,0,12,12,117,-1,0,0,4,33,14,12,1
2012,4,1,3,3,2,4,12,12,16,16,118,-1,0,1,2,40,18,12,2
2012,1,0,0,1,1,2,12,0,12,8,119,-1,0,3,3,68,12,8,3
2012,2,0,9,7,2,1,12,0,97,8,120,-1,0,5,3,69,14,6,1
2012,4,1,1,3,1,3,12,12,17,12,121,-1,0,0,3,71,18,13,2
2012,1,1,1,7,1,2,12,5,97,12,122,-1,0,5,0,23,15,12,3
2012,3,4,3,7,1,1,12,12,97,16,123,-1,0,1,0,28,16,20,2
2012,1,0,0,7,1,1,12,12,97,4,124,-1,0,5,0,49,12,4,2
2012,4,1,0,7,2,1,12,98,97,10,125,-1,0,2,2,66,16,12,2
2012,3,7,1,3,2,4,12,12,20,12,126,-1,0,2,2,36,20,97,3
2012,4,3,3,3,1,4,12,12,16,16,127,-1,0,2,2,53,19,16,1
2012,0,7,0,0,2,4,11,11,9,0,128,-1,0,13,5,40,6,97,3
2012,1,7,2,7,2,5,12,12,97,15,129,-1,0,1,3,34,12,97,2
2012,0,0,0,0,1,3,12,10,2,0,130,-1,0,6,3,58,6,0,2
2012,1,1,0,0,1,5,12,0,10,98,131,-1,0,4,1,62,12,98,3
2012,1,1,1,1,2,6,12,12,13,12,132,-1,0,2,0,24,12,12,1
2012,0,7,0,7,2,2,9,0,97,3,133,-1,0,4,2,72,6,97,2
2012,1,8,0,1,2,3,12,12,12,3,134,-1,0,2,1,32,12,98,3
2012,3,1,1,7,1,1,12,12,97,12,135,-1,0,0,0,29,16,13,2
2012,1,7,8,7,1,1,12,12,97,98,136,-1,0,3,3,34,12,97,3
2012,1,1,1,7,2,6,9,9,97,12,137,-1,0,2,4,36,13,12,2
2012,0,0,0,0,1,2,10,0,6,3,138,-1,0,10,3,74,8,8,3
2012,3,4,3,4,2,2,12,12,18,16,139,-1,0,3,2,49,16,18,2
2012,3,8,0,7,1,2,12,12,97,5,140,-1,0,2,2,60,16,98,1
