"year","id","hrs1","marital","childs","income","happy","ballot"
2000,1,"40","Never married","0","No answer","Pretty happy","Ballot a"
2000,2,"38","Divorced","2","$8000 to 9999","Pretty happy","Ballot c"
2000,3,"Not applicable","Widowed","5","$15000 - 19999","Pretty happy","Ballot b"
2000,4,"60","Never married","1","$25000 or more","Very happy","Ballot b"
2000,5,"44","Divorced","0","$25000 or more","Pretty happy","Ballot b"
2000,6,"40","Married","0","No answer","Pretty happy","Ballot c"
2000,7,"55","Never married","0","$25000 or more","Very happy","Ballot a"
2000,8,"42","Divorced","2","$20000 - 24999","Pretty happy","Ballot c"
2000,9,"50","Married","1","$25000 or more","Pretty happy","Ballot b"
2000,10,"60","Married","3","$25000 or more","Very happy","Ballot b"
2000,11,"50","Married","1","$25000 or more","Very happy","Ballot b"
2000,12,"40","Married","1","$25000 or more","Pretty happy","Ballot c"
2000,13,"45","Married","1","$25000 or more","Pretty happy","Ballot a"
2000,14,"50","Married","0","$25000 or more","Very happy","Ballot c"
2000,15,"Not applicable","Divorced","2","$25000 or more","Pretty happy","Ballot b"
2000,16,"48","Married","4","$25000 or more","Pretty happy","Ballot b"
2000,17,"Not applicable","Widowed","1","$10000 - 14999","Very happy","Ballot c"
2000,18,"40","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,19,"50","Married","1","$10000 - 14999","Pretty happy","Ballot b"
2000,20,"Not applicable","Married","4","$20000 - 24999","Very happy","Ballot c"
2000,21,"50","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,22,"40","Married","2","$25000 or more","Very happy","Ballot a"
2000,23,"Not applicable","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,24,"Not applicable","Widowed","2","$25000 or more","Pretty happy","Ballot a"
2000,25,"Not applicable","Widowed","2","Refused","Pretty happy","Ballot a"
2000,26,"Not applicable","Widowed","3","Refused","Pretty happy","Ballot c"
2000,27,"Not applicable","Widowed","1","$1000 to 2999","Pretty happy","Ballot a"
2000,28,"Not applicable","Widowed","4","Refused","Not too happy","Ballot b"
2000,29,"Not applicable","Divorced","2","$10000 - 14999","Pretty happy","Ballot b"
2000,30,"Not applicable","Widowed","4","Refused","Very happy","Ballot c"
2000,31,"Not applicable","Widowed","2","$25000 or more","Very happy","Ballot b"
2000,32,"40","Married","1","Refused","Very happy","Ballot c"
2000,33,"Not applicable","Married","5","$25000 or more","Pretty happy","Ballot a"
2000,34,"60","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,35,"47","Married","0","Don't know","Very happy","Ballot c"
2000,36,"52","Never married","0","$20000 - 24999","Not too happy","Ballot c"
2000,37,"Not applicable","Never married","0","$25000 or more","No answer","Ballot a"
2000,38,"45","Never married","0","$20000 - 24999","No answer","Ballot b"
2000,39,"50","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,40,"Not applicable","Never married","0","Refused","Pretty happy","Ballot b"
2000,41,"47","Married","0","$25000 or more","Pretty happy","Ballot a"
2000,42,"45","Married","3","$25000 or more","Very happy","Ballot c"
2000,43,"Not applicable","Divorced","2","Don't know","Pretty happy","Ballot c"
2000,44,"Not applicable","Never married","0","$8000 to 9999","Not too happy","Ballot b"
2000,45,"40","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,46,"30","Never married","1","$10000 - 14999","Pretty happy","Ballot c"
2000,47,"50","Married","3","$25000 or more","Very happy","Ballot a"
2000,48,"20","Married","2","$25000 or more","Very happy","Ballot b"
2000,49,"40","Married","3","$25000 or more","Very happy","Ballot a"
2000,50,"42","Married","1","$25000 or more","Pretty happy","Ballot b"
2000,51,"40","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,52,"12","Married","2","$25000 or more","Pretty happy","Ballot c"
2000,53,"50","Married","3","$25000 or more","Very happy","Ballot c"
2000,54,"Not applicable","Married","3","$25000 or more","Pretty happy","Ballot b"
2000,55,"35","Married","0","$25000 or more","Pretty happy","Ballot b"
2000,56,"40","Divorced","3","Don't know","Pretty happy","Ballot c"
2000,57,"40","Divorced","2","$20000 - 24999","Very happy","Ballot a"
2000,58,"40","Divorced","2","$25000 or more","Pretty happy","Ballot a"
2000,59,"Not applicable","Never married","0","$1000 to 2999","Pretty happy","Ballot a"
2000,60,"38","Never married","0","Don't know","Pretty happy","Ballot c"
2000,61,"Not applicable","Married","2","$20000 - 24999","Very happy","Ballot b"
2000,62,"55","Married","1","$25000 or more","Pretty happy","Ballot c"
2000,63,"50","Never married","0","$25000 or more","Very happy","Ballot a"
2000,64,"Not applicable","Divorced","0","$8000 to 9999","Pretty happy","Ballot a"
2000,65,"5","Never married","3","$10000 - 14999","Pretty happy","Ballot c"
2000,66,"Not applicable","Widowed","5","$25000 or more","Pretty happy","Ballot b"
2000,67,"30","Divorced","3","$25000 or more","Very happy","Ballot c"
2000,68,"Not applicable","Married","3","$25000 or more","Very happy","Ballot a"
2000,69,"Not applicable","Never married","2","$15000 - 19999","Pretty happy","Ballot c"
2000,70,"Not applicable","Never married","0","Lt $1000","Very happy","Ballot b"
2000,71,"Not applicable","Widowed","1","Lt $1000","No answer","Ballot b"
2000,72,"Not applicable","Widowed","1","$1000 to 2999","Pretty happy","Ballot a"
2000,73,"Not applicable","Widowed","Eight or m","$10000 - 14999","Pretty happy","Ballot a"
2000,74,"Not applicable","Widowed","0","$5000 to 5999","Pretty happy","Ballot c"
2000,75,"Not applicable","Widowed","Eight or m","Refused","No answer","Ballot b"
2000,76,"40","Never married","3","$10000 - 14999","Pretty happy","Ballot b"
2000,77,"Not applicable","Widowed","Eight or m","Refused","Not too happy","Ballot c"
2000,78,"Not applicable","Never married","1","$7000 to 7999","Not too happy","Ballot a"
2000,79,"40","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,80,"40","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,81,"32","Married","3","Refused","Pretty happy","Ballot b"
2000,82,"16","Married","4","$25000 or more","Pretty happy","Ballot c"
2000,83,"Not applicable","Widowed","2","$25000 or more","Very happy","Ballot b"
2000,84,"Not applicable","Married","4","Don't know","Not too happy","Ballot b"
2000,85,"27","Married","2","$25000 or more","Pretty happy","Ballot c"
2000,86,"Not applicable","Divorced","1","$10000 - 14999","Not too happy","Ballot a"
2000,87,"40","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,88,"40","Separated","3","$25000 or more","Not too happy","Ballot a"
2000,89,"40","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,90,"Not applicable","Widowed","2","$20000 - 24999","Pretty happy","Ballot a"
2000,91,"Not applicable","Widowed","1","$15000 - 19999","Not too happy","Ballot c"
2000,92,"70","Married","1","$25000 or more","Very happy","Ballot b"
2000,93,"43","Divorced","1","$25000 or more","Pretty happy","Ballot b"
2000,94,"45","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,95,"70","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,96,"50","Never married","0","$25000 or more","Very happy","Ballot b"
2000,97,"40","Married","0","Refused","Very happy","Ballot a"
2000,98,"10","Married","3","$25000 or more","Very happy","Ballot c"
2000,99,"Not applicable","Widowed","3","$25000 or more","Very happy","Ballot c"
2000,100,"55","Divorced","0","Refused","Pretty happy","Ballot a"
2000,101,"40","Married","2","Refused","Very happy","Ballot b"
